-48.6844	-60.9848	-66.9554	-56.6988	-45.2781	-37.6952	-33.0928	-30.3823	-28.8681	
-80.328	-80.6914	-80.7939	-80.6273	-80.2059	-79.5612	-78.7321	-77.7569	-76.6682	
-61.6455	-60.688	-59.6973	-58.6777	-57.6328	-56.5662	-55.4811	-54.3806	-53.2674	
-57.9777	-58.4599	-58.9007	-59.2978	-59.6491	-59.9527	-60.2069	-60.4102	-60.5617	
-53.598	-54.5505	-55.4845	-56.397	-57.285	-58.1452	-58.9743	-59.7688	-60.5249	
-51.0156	-52.4847	-53.9615	-55.4448	-56.9338	-58.4276	-59.9253	-61.4262	-62.9297	
-78.7851	-79.9478	-81.0016	-81.9037	-82.5985	-83.0237	-83.1291	-82.9002	-82.367	
-75.7246	-77.2146	-78.6829	-80.1199	-81.5102	-82.827	-84.0227	-85.0108	-85.6496	
-27.8929	-28.0489	-28.4256	-28.986	-29.6981	-30.5358	-31.4777	-32.5066	-33.6087	
-52.6566	-51.3623	-50.0664	-48.7711	-47.4786	-46.1912	-44.9113	-43.6415	-42.3847	
-42.6028	-41.8227	-41.0743	-40.3595	-39.6808	-39.0404	-38.4402	-37.8825	-37.3692	
-67.6761	-69.1454	-70.6036	-72.0463	-73.4675	-74.8599	-76.2131	-77.5131	-78.7405	
-62.1491	-61.5629	-60.9343	-60.268	-59.5682	-58.839	-58.0846	-57.3088	-56.5153	
-54.9218	-56.4584	-58.0024	-59.5529	-61.1092	-62.6704	-64.2359	-65.8048	-67.3767	
-64.8889	-63.4512	-62.0053	-60.5533	-59.097	-57.6377	-56.1771	-54.7163	-53.2568	
-39.9866	-39.5402	-39.1234	-38.7384	-38.3874	-38.0724	-37.7952	-37.5575	-37.3609	
-46.2188	-46.1923	-46.1849	-46.1966	-46.2271	-46.2764	-46.344	-46.4296	-46.5326	
-59.6528	-60.902	-62.1413	-63.3669	-64.5746	-65.7595	-66.9159	-68.0374	-69.1163	
-38.6823	-37.4574	-36.2669	-35.1171	-34.0152	-32.97	-31.9916	-31.0921	-30.2858	
-28.5689	-28.2484	-28.113	-28.1778	-28.4348	-28.8658	-29.449	-30.1632	-30.9893	
-69.0973	-68.8095	-68.4293	-67.9623	-67.4149	-66.7938	-66.1061	-65.3588	-64.5586	
-49.0641	-47.5839	-46.1194	-44.6724	-43.2449	-41.8393	-40.4585	-39.1058	-37.7851	
-52.4832	-44.2493	-37.7634	-33.4785	-30.8261	-29.285	-28.5008	-28.2442	-28.3659	
-56.4039	-56.969	-57.4994	-57.9926	-58.4463	-58.8582	-59.2264	-59.5488	-59.8239	
-76.5764	-76.8118	-76.8683	-76.7436	-76.4427	-75.9772	-75.3632	-74.619	-73.7633	
-72.2468	-73.791	-75.3262	-76.8481	-78.3506	-79.824	-81.2531	-82.6119	-83.8534	
-38.8505	-37.5832	-36.3516	-35.1613	-34.0194	-32.9338	-31.9147	-30.9742	-30.1273	
-55.4088	-54.1783	-52.9524	-51.7334	-50.5237	-49.3254	-48.1409	-46.9724	-45.8221	
-32.1072	-31.0999	-30.1849	-29.3822	-28.7172	-28.2225	-27.9398	-27.922	-28.2338	
-63.0003	-64.4721	-65.9421	-67.4093	-68.872	-70.3286	-71.7769	-73.2139	-74.6358	
-77.6274	-79.0551	-80.4393	-81.7583	-82.9757	-84.0301	-84.8221	-85.2208	-85.1301	
-49.1401	-48.8718	-48.5941	-48.308	-48.0151	-47.7168	-47.4146	-47.1099	-46.8044	
-55.6923	-54.5841	-53.4768	-52.3732	-51.2758	-50.1871	-49.1094	-48.045	-46.9963	
-54.317	-52.8213	-51.3313	-49.8482	-48.3733	-46.9082	-45.4545	-44.0144	-42.5902	
-48.9315	-49.1571	-49.3725	-49.5765	-49.768	-49.9461	-50.1098	-50.2583	-50.3908	
-41.953	-41.6588	-41.3883	-41.1432	-40.9251	-40.7354	-40.5756	-40.4467	-40.35	
-65.8042	-64.2399	-62.6791	-61.1227	-59.5714	-58.026	-56.4873	-54.9563	-53.4339	
-51.9259	-52.24	-52.5322	-52.8014	-53.0468	-53.2674	-53.4626	-53.6318	-53.7744	
-51.6009	-53.0587	-54.5237	-55.9946	-57.4704	-58.9501	-60.4326	-61.917	-63.4024	
-48.995	-49.3953	-49.7836	-50.1586	-50.5187	-50.8627	-51.1893	-51.4972	-51.7853	
